null;0;start;200;null
585512950283;1;property;60;2,10,30,90,160,250
null;0;chest;0;null
585513147912;1;property;60;4,20,60,180,320,450
null;0;tax;200;null
null;2;train;200;25,50,100,200
585512950283;3;property;100;6,30,90,270,400,550
null;0;chance;0;null
585522915728;3;property;100;6,30,90,270,400,550
585512886832;3;property;120;8,40,100,300,450,600
null;0;prison;0;null
585523444363;5;property;140;10,50,150,450,625,750
null;4;services;150;4,10
585520691116;5;property;140;10,50,150,450,625,750
585515709467;5;property;160;12,60,180,500,700,900
null;2;train;200;25,50,100,200
585508696419;6;property;180;14,70,200,550,750,950
null;0;chest;0;null
585516887536;6;property;180;14,70,200,550,750,950
585510564814;6;property;200;16,80,220,600,800,1000
null;0;parking;0;null
null;7;property;220;18,90,250,700,875,1050
null;0;chance;0;null
null;7;property;220;18,90,250,700,875,1050
null;7;property;240;20,100,300,750,925,1100
null;2;train;200;25,50,100,200
null;8;property;260;22,110,330,800,975,1150
null;8;property;260;22,110,330,800,975,1150
null;4;services;150;4,10
null;8;property;280;24,120,360,850,1025,1200
null;0;arrest;0;null
null;9;property;300;26,130,390,900,1100,1275
null;9;property;300;26,130,390,900,1100,1275
null;0;chest;0;null
null;9;property;320;28,150,450,1000,1200,1400
null;2;train;200;25,50,100,200
null;0;chance;0;null
null;10;property;350;35,175,500,1100,1300,1500
null;0;tax;100;null
null;10;property;400;50,200,600,1400,1700,2000
